iter	Passed	Remaining
0	279	278811
1	315	157537
2	357	118645
3	373	93005
4	394	78429
5	521	86353
6	551	78285
7	553	68684
8	556	61258
9	558	55271
10	560	50367
11	562	46290
12	564	42886
13	566	39918
14	568	37342
15	570	35103
16	572	33112
17	576	31426
18	578	29845
19	580	28445
20	651	30370
21	719	31987
22	764	32468
23	849	34527
24	881	34379
25	980	36725
26	993	35809
27	1004	34866
28	1043	34954
29	1242	40158
30	1308	40894
31	1310	39646
32	1313	38486
33	1315	37375
34	1318	36346
35	1320	35369
36	1345	35024
37	1348	34133
38	1353	33339
39	1355	32522
40	1361	31835
41	1371	31278
42	1373	30567
43	1418	30818
44	1420	30144
45	1424	29552
46	1439	29191
47	1441	28598
48	1443	28024
49	1447	27501
50	1449	26973
51	1460	26625
52	1463	26142
53	1466	25689
54	1468	25231
55	1471	24798
56	1473	24372
57	1526	24793
58	1529	24391
59	1532	24002
60	1534	23615
61	1536	23241
62	1538	22882
63	1545	22596
64	1548	22267
65	1553	21980
66	1555	21658
67	1558	21359
68	1561	21073
69	1602	21292
70	1604	20998
71	1612	20788
72	1617	20542
73	1620	20275
74	1624	20033
75	1631	19835
76	1633	19581
77	1643	19431
78	1665	19420
79	1668	19183
80	1672	18970
81	1682	18834
82	1794	19824
83	1797	19603
84	1802	19408
85	1805	19192
86	1810	18997
87	1812	18781
88	1816	18588
89	1818	18384
90	1820	18181
91	1823	17995
92	1826	17814
93	1828	17626
94	1831	17449
95	1886	17766
96	1892	17616
97	1899	17485
98	1904	17334
99	1908	17179
100	1915	17050
101	1919	16897
102	1921	16732
103	1923	16569
104	1929	16448
105	1932	16294
106	1938	16179
107	2020	16687
108	2027	16576
109	2029	16424
110	2035	16302
111	2055	16300
112	2078	16317
113	2081	16175
114	2084	16038
115	2086	15897
116	2094	15804
117	2096	15668
118	2099	15542
119	2101	15412
120	2127	15453
121	2129	15321
122	2131	15200
123	2134	15081
124	2171	15197
125	2173	15073
126	2175	14956
127	2177	14836
128	2219	14984
129	2222	14875
130	2234	14823
131	2236	14707
132	2238	14594
133	2240	14481
134	2275	14582
135	2348	14918
136	2350	14808
137	2352	14696
138	2355	14590
139	2357	14483
140	2360	14381
141	2361	14271
142	2367	14185
143	2369	14082
144	2371	13986
145	2374	13887
146	2378	13803
147	2382	13715
148	2384	13619
149	2422	13729
150	2425	13635
151	2427	13541
152	2430	13455
153	2433	13366
154	2440	13304
155	2443	13219
156	2456	13187
157	2470	13166
158	2473	13082
159	2475	12996
160	2478	12915
161	2484	12852
162	2522	12951
163	2524	12867
164	2527	12792
165	2531	12718
166	2533	12637
167	2535	12558
168	2540	12491
169	2546	12432
170	2554	12386
171	2565	12349
172	2618	12517
173	2621	12444
174	3015	14213
175	3035	14209
176	3037	14124
177	3040	14041
178	3042	13954
179	3046	13878
180	3048	13794
181	3051	13713
182	3055	13639
183	3057	13558
184	3059	13477
185	3062	13401
186	3065	13325
187	3177	13725
188	3180	13645
189	3183	13570
190	3187	13499
191	3189	13422
192	3192	13348
193	3195	13277
194	3198	13204
195	3201	13132
196	3203	13059
197	3206	12989
198	3209	12917
199	3211	12844
200	3213	12772
201	3215	12700
202	3319	13030
203	3322	12965
204	3325	12897
205	3328	12829
206	3330	12760
207	3333	12692
208	3336	12627
209	3568	13425
210	3663	13697
211	3665	13623
212	3670	13562
213	3673	13491
214	4271	15594
215	4273	15512
216	4278	15438
217	4280	15356
218	4282	15273
219	4285	15194
220	4287	15114
221	4289	15033
222	4293	14960
223	4297	14886
224	4301	14816
225	4303	14739
226	4309	14674
227	4496	15224
