iter	RMSE
0	14.63745427
1	14.27944868
2	13.9602175
3	13.61410082
4	13.28311606
5	12.96174242
6	12.64152059
7	12.36128366
8	12.07110261
9	11.77593333
10	11.52634585
11	11.27736062
12	11.0281706
13	10.78671675
14	10.55079554
15	10.34261119
16	10.12792151
17	9.935126806
18	9.745680643
19	9.568072726
20	9.404854066
21	9.228036175
22	9.072341821
23	8.917253561
24	8.76593413
25	8.618694298
26	8.497842625
27	8.36971564
28	8.24856203
29	8.12653799
30	8.015055419
31	7.913908846
32	7.802742603
33	7.704499604
34	7.607903245
35	7.504526134
36	7.429858192
37	7.340761136
38	7.24990859
39	7.179721777
40	7.107256818
41	7.03196019
42	6.956330149
43	6.878274904
44	6.810574096
45	6.755699372
46	6.698726727
47	6.643722195
48	6.590035281
49	6.530979233
50	6.474902118
51	6.426320911
52	6.378845501
53	6.329985816
54	6.283903712
55	6.237736605
56	6.198358754
57	6.157986739
58	6.117734303
59	6.076918263
60	6.043115986
61	6.01084967
62	5.976336632
63	5.942310428
64	5.911698667
65	5.87820372
66	5.847472364
67	5.820723099
68	5.792642452
69	5.767494907
70	5.740650524
71	5.718963499
72	5.699707425
73	5.679045475
74	5.655838614
75	5.639298701
76	5.619556815
77	5.603696508
78	5.585634276
79	5.567047824
80	5.548640683
81	5.52975004
82	5.510594656
83	5.495859266
84	5.483380805
85	5.471018729
86	5.453894584
87	5.442482706
88	5.431567088
89	5.418731942
90	5.408648462
91	5.399917482
92	5.387667669
93	5.378073989
94	5.367695638
95	5.360263488
96	5.35082441
97	5.339558421
98	5.330063102
99	5.321074694
100	5.311302284
101	5.301888685
102	5.293697862
103	5.284747521
104	5.278277932
105	5.270205157
106	5.260802287
107	5.252469669
108	5.245826633
109	5.239429167
110	5.230126556
111	5.2249547
112	5.217529542
113	5.210097965
114	5.204865457
115	5.199605883
116	5.194676768
117	5.187306911
118	5.180991076
119	5.177088295
120	5.172906428
121	5.167789784
122	5.163429061
123	5.158910736
124	5.156168551
125	5.150273416
126	5.142064783
127	5.135552522
128	5.129572142
129	5.124611045
130	5.120295825
131	5.116320636
132	5.112146731
133	5.104874038
134	5.098483958
135	5.094463737
136	5.090943746
137	5.084811745
138	5.080692283
139	5.076960798
140	5.072698596
141	5.065039183
142	5.061548551
143	5.058087276
144	5.054703578
145	5.051495056
146	5.044326077
147	5.040222621
148	5.038438245
149	5.031914195
150	5.028026161
151	5.022444899
152	5.0195095
153	5.016709999
154	5.011638241
155	5.010538937
156	5.008801941
157	5.005512654
158	5.001259266
159	4.995910239
160	4.990673323
161	4.987792806
162	4.979612489
163	4.977569731
164	4.972402306
165	4.968524215
166	4.963326437
167	4.954600549
168	4.950610318
169	4.947000351
170	4.941537517
171	4.934092309
172	4.929753646
173	4.924631522
174	4.918039141
175	4.914993645
176	4.912136482
177	4.909382281
178	4.905266798
179	4.900451697
180	4.896339424
181	4.89270252
182	4.887504026
183	4.883706002
184	4.879864453
185	4.873883724
186	4.868294824
187	4.864914474
188	4.861278136
189	4.857954079
190	4.854906236
191	4.850191714
192	4.846531166
193	4.844133047
194	4.841485549
195	4.841253631
196	4.837031584
197	4.83247445
198	4.829816272
199	4.82593762
200	4.818742992
201	4.812000433
202	4.808695516
203	4.802498111
204	4.798572241
205	4.794023888
206	4.79270193
207	4.786376978
208	4.780836075
209	4.778334284
210	4.774197873
211	4.769952319
212	4.762369653
213	4.758679658
214	4.755784917
215	4.752050197
216	4.749081007
217	4.74433001
218	4.740255901
219	4.737460624
220	4.734462284
221	4.73018123
222	4.725508493
223	4.722448641
224	4.719344464
225	4.71518754
226	4.710862358
227	4.707577234
228	4.702652366
229	4.702250184
230	4.699577014
231	4.696392774
232	4.693451098
233	4.689265707
234	4.685300888
235	4.681118045
236	4.680638117
237	4.679184551
238	4.676195617
239	4.670774587
240	4.668942693
241	4.665068584
242	4.662663229
243	4.660614544
244	4.657957496
245	4.655991965
246	4.653778663
247	4.651204163
248	4.649351372
249	4.648600132
250	4.648184809
251	4.6453663
252	4.643207871
253	4.640957899
254	4.636133952
255	4.633717516
256	4.630594284
257	4.629925647
258	4.628181606
259	4.625498872
260	4.622501126
261	4.619777472
262	4.613771043
263	4.610013353
264	4.609366206
265	4.608901322
266	4.602269617
267	4.599987806
268	4.597430227
269	4.592768261
270	4.589515958
271	4.584581456
272	4.583099041
273	4.577472835
274	4.573240641
275	4.568676722
276	4.565509983
277	4.562803244
278	4.557703852
279	4.553344307
280	4.551115052
281	4.548527515
282	4.544935807
283	4.543554604
284	4.536947988
285	4.532359665
286	4.528867271
287	4.525802787
288	4.525027275
289	4.522373428
290	4.518135337
291	4.51589049
292	4.513055469
293	4.511476455
294	4.510907759
295	4.508562309
296	4.506071305
297	4.5040121
298	4.499930554
299	4.495789584
300	4.495544609
301	4.490712479
302	4.48754211
303	4.48506326
304	4.479913287
305	4.474547527
306	4.472119909
307	4.471949631
308	4.4664526
309	4.463278394
310	4.460423478
311	4.455723959
312	4.45134194
313	4.448889393
314	4.444317703
315	4.440361743
316	4.43512888
317	4.434943048
318	4.432862141
319	4.429921597
320	4.424832692
321	4.424656769
322	4.421318172
323	4.418891492
324	4.416444421
325	4.414694498
326	4.41274272
327	4.409008146
328	4.406167921
329	4.401920343
330	4.398218762
331	4.392004388
332	4.38918357
333	4.382776358
334	4.377969721
335	4.375074368
336	4.369640915
337	4.364768519
338	4.363884266
339	4.35994167
340	4.359197907
341	4.356098817
342	4.3526562
343	4.35032142
344	4.347208068
345	4.346151664
346	4.345331607
347	4.342487883
348	4.339188475
349	4.332641026
350	4.329245889
351	4.327115872
352	4.325497443
353	4.322882979
354	4.320057587
355	4.314450462
356	4.30984275
357	4.306843342
358	4.304298733
359	4.303598252
360	4.296446366
361	4.294465582
362	4.293268607
363	4.289663895
364	4.289531762
365	4.284334579
366	4.279303797
367	4.276984701
368	4.272189896
369	4.269737579
370	4.265873259
371	4.262972187
372	4.259137978
373	4.257787515
374	4.253246424
375	4.248814131
376	4.247046734
377	4.241285228
378	4.238959437
379	4.234439508
380	4.231814801
381	4.230326073
382	4.22858937
383	4.226073586
384	4.222050035
385	4.22024058
386	4.217482096
387	4.214055584
388	4.207503281
389	4.204979498
390	4.202334384
391	4.200038475
392	4.195732873
393	4.193666392
394	4.190659166
395	4.185788583
396	4.182967493
397	4.181080336
398	4.180941345
399	4.179999422
400	4.17673549
401	4.17481751
402	4.17409808
403	4.172984931
404	4.169552228
405	4.169390657
406	4.165329227
407	4.163698883
408	4.16203861
409	4.159201724
410	4.154784903
411	4.149498244
412	4.146385236
413	4.144027104
414	4.140950392
415	4.137939225
416	4.133373039
417	4.131705281
418	4.128472818
419	4.123754347
420	4.118204089
421	4.113354548
422	4.107400568
423	4.104802838
424	4.104286577
425	4.100877032
426	4.100705423
427	4.09681849
428	4.09499123
429	4.093441758
430	4.09127226
431	4.088213298
432	4.085954207
433	4.083163456
434	4.078484175
435	4.074605901
436	4.072574168
437	4.071363637
438	4.067754038
439	4.063622603
440	4.061178541
441	4.059150013
442	4.056558846
443	4.052582981
444	4.046736638
445	4.043814515
446	4.041282743
447	4.038188015
448	4.034349527
449	4.031841689
450	4.02836322
451	4.024330961
452	4.022004192
453	4.01998471
454	4.016218973
455	4.011990443
456	4.009133825
457	4.00825347
458	4.005072155
459	4.00399922
460	4.003793273
461	4.001786755
462	4.000371499
463	3.998289148
464	3.994998392
465	3.990577674
466	3.986678309
467	3.983906114
468	3.981222927
469	3.977177281
470	3.975102596
471	3.97496439
472	3.973563898
473	3.973374593
474	3.971494154
475	3.968630628
476	3.967293441
477	3.963932279
478	3.960544838
479	3.959371093
480	3.958195633
481	3.955640128
482	3.953260382
483	3.95079698
484	3.94777239
485	3.945275654
486	3.94163758
487	3.939531742
488	3.935715846
489	3.934793032
490	3.93470143
491	3.930737595
492	3.930541383
493	3.926224129
494	3.921159567
495	3.918171633
496	3.914267456
497	3.910885359
498	3.907718419
499	3.904055399
500	3.90203829
501	3.900788399
502	3.897864262
503	3.896485464
504	3.896346183
505	3.893836043
