iter	Passed	Remaining
0	193	193547
1	195	97377
2	196	65396
3	198	49432
4	200	39823
5	201	33414
6	203	28831
7	204	25405
8	207	22876
9	209	20730
10	210	18920
11	212	17458
12	213	16234
13	215	15170
14	216	14248
15	218	13439
16	220	12739
17	222	12157
18	224	11586
19	225	11072
20	227	10608
21	229	10189
22	230	9807
23	232	9458
24	234	9137
25	237	8911
26	239	8620
27	240	8361
28	242	8121
29	244	7893
30	245	7680
31	247	7480
32	248	7292
33	250	7121
34	253	6977
35	254	6817
36	256	6664
37	257	6521
38	259	6386
39	260	6258
40	262	6137
41	264	6021
42	267	5942
43	268	5842
44	270	5740
45	272	5646
46	273	5552
47	275	5461
48	276	5374
49	278	5291
50	280	5214
51	282	5152
52	284	5078
53	285	5007
54	287	4938
55	288	4870
56	290	4805
57	292	4743
58	293	4682
59	296	4643
60	298	4588
61	299	4535
62	301	4481
63	302	4430
64	304	4380
65	306	4331
66	307	4283
67	309	4237
68	311	4209
69	313	4166
70	315	4123
71	316	4081
72	318	4040
73	319	4000
74	321	3962
75	322	3924
76	324	3888
77	327	3865
78	328	3830
79	330	3796
80	331	3762
81	333	3730
82	334	3698
83	336	3667
84	337	3636
85	339	3606
86	341	3588
87	343	3560
88	345	3532
89	346	3504
90	348	3478
91	349	3452
92	351	3426
93	352	3401
94	356	3393
95	358	3372
96	359	3349
97	361	3328
98	363	3305
99	364	3283
100	366	3261
101	367	3239
102	370	3228
103	372	3207
104	373	3187
105	375	3167
106	377	3147
107	378	3128
108	380	3108
109	381	3089
110	383	3070
111	386	3063
112	388	3046
113	389	3028
114	391	3010
115	392	2993
116	394	2976
117	395	2959
118	397	2942
119	399	2927
120	401	2917
121	403	2903
122	405	2893
123	407	2878
124	409	2864
125	411	2852
126	413	2843
127	416	2839
128	419	2831
129	421	2818
130	422	2804
131	424	2790
132	425	2775
133	428	2770
134	430	2757
135	431	2744
136	433	2730
137	435	2717
138	436	2704
139	438	2691
140	439	2678
141	441	2668
142	443	2657
143	445	2645
144	446	2633
145	448	2621
146	449	2610
147	451	2598
148	452	2585
149	454	2574
150	457	2571
151	459	2561
152	460	2549
153	462	2539
154	464	2530
155	465	2516
156	466	2503
157	467	2492
158	469	2482
159	471	2477
160	473	2467
161	475	2458
162	476	2448
163	478	2438
164	480	2429
165	481	2419
166	483	2410
167	486	2407
168	487	2398
169	489	2390
170	491	2381
171	492	2372
172	494	2363
173	495	2354
174	497	2345
175	499	2337
176	501	2332
177	503	2324
178	505	2316
179	506	2307
180	508	2299
181	509	2290
182	511	2282
183	512	2274
184	515	2271
185	517	2264
186	519	2256
187	520	2248
188	522	2240
189	523	2232
190	525	2224
191	526	2216
192	528	2209
193	531	2207
194	532	2200
195	533	2189
196	535	2182
197	536	2174
198	538	2167
199	539	2159
200	541	2152
201	543	2145
202	546	2145
203	548	2139
204	550	2133
205	552	2129
206	554	2123
207	555	2116
208	557	2110
209	559	2103
210	561	2100
211	563	2093
212	564	2087
213	566	2081
214	568	2074
215	569	2067
216	571	2061
217	572	2054
218	575	2052
219	577	2046
220	579	2040
221	580	2034
222	582	2028
223	583	2022
224	585	2015
225	586	2009
226	588	2004
227	591	2001
228	592	1995
229	594	1989
230	595	1983
231	597	1977
232	598	1971
233	600	1965
234	601	1959
235	603	1954
236	606	1951
237	607	1945
238	609	1939
239	610	1933
240	612	1928
241	613	1922
242	615	1916
243	616	1911
244	618	1905
245	621	1903
246	622	1898
247	624	1892
248	625	1887
249	627	1881
250	629	1877
251	630	1871
252	632	1866
253	634	1863
254	636	1858
255	637	1853
256	640	1851
257	641	1846
258	643	1841
259	645	1835
260	646	1830
